type,number,sex,group,class
ABC,7,W,DCZ,1
abc,10,W,DCZ,1
AbC,5,W,DCZ,1
aBc,3,W,DCZ,1
aBC,1,W,DCZ,1
Abc,1,W,DCZ,1
ABc,0,W,DCZ,1
abC,1,W,DCZ,1
ABC,8,M,DCZ,1
abc,7,M,DCZ,1
AbC,3,M,DCZ,1
aBc,3,M,DCZ,1
aBC,1,M,DCZ,1
Abc,1,M,DCZ,1
ABc,2,M,DCZ,1
abC,4,M,DCZ,1
ABC,14,W,CJ,1
abc,13,W,CJ,1
AbC,10,W,CJ,1
aBc,2,W,CJ,1
aBC,1,W,CJ,1
Abc,3,W,CJ,1
ABc,2,W,CJ,1
abC,9,W,CJ,1
ABC,12,M,CJ,1
abc,10,M,CJ,1
AbC,7,M,CJ,1
aBc,4,M,CJ,1
aBC,6,M,CJ,1
Abc,1,M,CJ,1
ABc,7,M,CJ,1
abC,8,M,CJ,1
ABC,8,W,LJH,1
abc,12,W,LJH,1
AbC,2,W,LJH,1
aBc,1,W,LJH,1
aBC,0,W,LJH,1
Abc,2,W,LJH,1
ABc,3,W,LJH,1
abC,0,W,LJH,1
ABC,15,M,LJH,1
abc,16,M,LJH,1
AbC,10,M,LJH,1
aBc,3,M,LJH,1
aBC,0,M,LJH,1
Abc,0,M,LJH,1
ABc,1,M,LJH,1
abC,0,M,LJH,1
ABC,4,W,ZCL,1
abc,9,W,ZCL,1
AbC,2,W,ZCL,1
aBc,3,W,ZCL,1
aBC,2,W,ZCL,1
Abc,0,W,ZCL,1
ABc,3,W,ZCL,1
abC,1,W,ZCL,1
ABC,12,M,ZCL,1
abc,15,M,ZCL,1
AbC,3,M,ZCL,1
aBc,7,M,ZCL,1
aBC,1,M,ZCL,1
Abc,1,M,ZCL,1
ABc,2,M,ZCL,1
abC,3,M,ZCL,1
ABC,3,W,WWW,1
abc,0,W,WWW,1
AbC,2,W,WWW,1
aBc,0,W,WWW,1
aBC,3,W,WWW,1
Abc,0,W,WWW,1
ABc,1,W,WWW,1
abC,2,W,WWW,1
ABC,7,M,WWW,1
abc,3,M,WWW,1
AbC,1,M,WWW,1
aBc,4,M,WWW,1
aBC,0,M,WWW,1
Abc,0,M,WWW,1
ABc,1,M,WWW,1
abC,4,M,WWW,1
ABC,6,W,LBR,1
abc,9,W,LBR,1
AbC,5,W,LBR,1
aBc,1,W,LBR,1
aBC,0,W,LBR,1
Abc,0,W,LBR,1
ABc,0,W,LBR,1
abC,4,W,LBR,1
ABC,12,M,LBR,1
abc,2,M,LBR,1
AbC,5,M,LBR,1
aBc,1,M,LBR,1
aBC,1,M,LBR,1
Abc,1,M,LBR,1
ABc,1,M,LBR,1
abC,0,M,LBR,1
ABC,20,W,YSS,1
abc,12,W,YSS,1
AbC,3,W,YSS,1
aBc,5,W,YSS,1
aBC,1,W,YSS,1
Abc,1,W,YSS,1
ABc,5,W,YSS,1
abC,22,W,YSS,1
ABC,19,M,YSS,1
abc,19,M,YSS,1
AbC,7,M,YSS,1
aBc,8,M,YSS,1
aBC,0,M,YSS,1
Abc,0,M,YSS,1
ABc,5,M,YSS,1
